	source	Unnamed: 0	source.1	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color	tst_samp_bins_ivp	tst_samp_bins_bdvp	tst_samp_bins_forced	tst_samp_bins_ivp_col	tst_samp_bins_bdvp_col	tst_samp_bins_forced_col
290	Fusobacterium	290	Fusobacterium	Aggregatibacter	8.0	4	4	Tongue_dorsum	Mixed	Intertype	#ff0000	#cccccc	#cccccc	61	7.0	0.0	#7effb5	#8000ff	7.0	9.0	22.0	#c43032	#3b4cc0	#3b4cc0
291	Aggregatibacter	291	Aggregatibacter	Fusobacterium	8.0	31	29	Mixed	Tongue_dorsum	Intertype	#cccccc	#ff0000	#cccccc	61	7.0	0.0	#7effb5	#8000ff	24.0	9.0	22.0	#e0654f	#3b4cc0	#3b4cc0
292	Fusobacterium	292	Fusobacterium	Catonella	6.0	4	7	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	61	7.0	0.0	#7effb5	#8000ff	7.0	9.0	22.0	#c43032	#3b4cc0	#3b4cc0
293	Catonella	293	Catonella	Fusobacterium	6.0	25	29	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	61	7.0	0.0	#7effb5	#8000ff	16.0	9.0	22.0	#d55042	#3b4cc0	#3b4cc0
294	Gardnerella	294	Gardnerella	Atopobium	2.0	11	1	Posterior_fornix	Saliva	Intertype	#4df3ce	#7effb5	#cccccc	61	11.0	10.0	#ffa055	#ff0000	64.0	-1.0	-1.0	#f6bda2	#b40426	#b40426
295	Atopobium	295	Atopobium	Gardnerella	2.0	24	13	Saliva	Posterior_fornix	Intertype	#7effb5	#4df3ce	#cccccc	61	2.0	0.0	#386df9	#8000ff	29.0	9.0	22.0	#e67259	#3b4cc0	#3b4cc0
296	Gordonibacter	296	Gordonibacter	Anaerostipes	4.0	1	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	115.0	9.0	22.0	#bad0f8	#3b4cc0	#3b4cc0
297	Anaerostipes	297	Anaerostipes	Gordonibacter	4.0	10	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	47.0	9.0	22.0	#f59d7e	#3b4cc0	#3b4cc0
298	Gordonibacter	298	Gordonibacter	Clostridium	3.0	1	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	115.0	9.0	22.0	#bad0f8	#3b4cc0	#3b4cc0
299	Clostridium	299	Clostridium	Gordonibacter	3.0	29	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	76.0	-1.0	-1.0	#f0cdbb	#b40426	#b40426
300	Gordonibacter	300	Gordonibacter	Coprobacillus	3.0	1	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	115.0	9.0	22.0	#bad0f8	#3b4cc0	#3b4cc0
301	Coprobacillus	301	Coprobacillus	Gordonibacter	3.0	10	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	26.0	9.0	22.0	#e36b54	#3b4cc0	#3b4cc0
302	Gordonibacter	302	Gordonibacter	Coprobacter	3.0	1	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	115.0	9.0	22.0	#bad0f8	#3b4cc0	#3b4cc0
303	Coprobacter	303	Coprobacter	Gordonibacter	3.0	5	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	16.0	9.0	22.0	#d55042	#3b4cc0	#3b4cc0
304	Gordonibacter	304	Gordonibacter	Coprococcus	3.0	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	115.0	9.0	22.0	#bad0f8	#3b4cc0	#3b4cc0
305	Coprococcus	305	Coprococcus	Gordonibacter	3.0	18	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	174.0	9.0	22.0	#4f69d9	#3b4cc0	#3b4cc0
306	Gordonibacter	306	Gordonibacter	Erysipelatoclostridium	3.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	115.0	9.0	22.0	#bad0f8	#3b4cc0	#3b4cc0
307	Erysipelatoclostridium	307	Erysipelatoclostridium	Gordonibacter	3.0	10	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	105.0	9.0	22.0	#cbd8ee	#3b4cc0	#3b4cc0
308	Gordonibacter	308	Gordonibacter	Eubacterium	4.0	1	2	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	61	0.0	1.0	#8000ff	#4e4dfc	115.0	9.0	22.0	#bad0f8	#3b4cc0	#3b4cc0
309	Eubacterium	309	Eubacterium	Gordonibacter	4.0	41	6	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	61	0.0	1.0	#8000ff	#4e4dfc	116.0	9.0	22.0	#b9d0f9	#3b4cc0	#3b4cc0
310	Gordonibacter	310	Gordonibacter	Flavonifractor	3.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	115.0	9.0	22.0	#bad0f8	#3b4cc0	#3b4cc0
311	Flavonifractor	311	Flavonifractor	Gordonibacter	3.0	15	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	21.0	9.0	22.0	#dc5d4a	#3b4cc0	#3b4cc0
312	Haemophilus	312	Haemophilus	Actinobacillus	4.0	5	23	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	163.0	9.0	22.0	#6282ea	#3b4cc0	#3b4cc0
313	Actinobacillus	313	Actinobacillus	Haemophilus	4.0	10	41	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	0.0	#ff3b1e	#8000ff	25.0	9.0	22.0	#e26952	#3b4cc0	#3b4cc0
314	Haemophilus	314	Haemophilus	Avibacterium	2.0	5	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	163.0	9.0	22.0	#6282ea	#3b4cc0	#3b4cc0
315	Avibacterium	315	Avibacterium	Haemophilus	2.0	3	41	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	48.0	9.0	22.0	#f59f80	#3b4cc0	#3b4cc0
316	Haemophilus	316	Haemophilus	Basfia	2.0	5	15	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	163.0	9.0	22.0	#6282ea	#3b4cc0	#3b4cc0
317	Basfia	317	Basfia	Haemophilus	2.0	2	41	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	106.0	9.0	22.0	#c9d7f0	#3b4cc0	#3b4cc0
318	Haemophilus	318	Haemophilus	Cryptobacterium	2.0	5	18	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	163.0	9.0	22.0	#6282ea	#3b4cc0	#3b4cc0
319	Cryptobacterium	319	Cryptobacterium	Haemophilus	2.0	4	41	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	61	6.0	7.0	#5af8c8	#e4cf74	42.0	9.0	22.0	#f29274	#3b4cc0	#3b4cc0
320	Haemophilus	320	Haemophilus	Dehalobacter	2.0	5	4	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	163.0	9.0	22.0	#6282ea	#3b4cc0	#3b4cc0
321	Dehalobacter	321	Dehalobacter	Haemophilus	2.0	2	41	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	124.0	9.0	22.0	#aac7fd	#3b4cc0	#3b4cc0
322	Haemophilus	322	Haemophilus	Echinicola	2.0	5	5	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	163.0	9.0	22.0	#6282ea	#3b4cc0	#3b4cc0
323	Echinicola	323	Echinicola	Haemophilus	2.0	2	41	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74	63.0	9.0	22.0	#f7ba9f	#3b4cc0	#3b4cc0
324	Herbaspirillum	324	Herbaspirillum	Comamonas	2.0	38	29	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	61	9.0	4.0	#c6e789	#4df3ce	49.0	-1.0	-1.0	#f5a081	#b40426	#b40426
325	Comamonas	325	Comamonas	Herbaspirillum	2.0	3	3	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	61	9.0	4.0	#c6e789	#4df3ce	153.0	2.0	1.0	#7597f6	#bb1b2c	#d44e41
326	Herbaspirillum	326	Herbaspirillum	Enhydrobacter	1.0	38	2	Mid_vagina	Posterior_fornix	Intertype	#18cde4	#4df3ce	#cccccc	61	9.0	4.0	#c6e789	#4df3ce	49.0	-1.0	-1.0	#f5a081	#b40426	#b40426
327	Enhydrobacter	327	Enhydrobacter	Herbaspirillum	1.0	2	3	Posterior_fornix	Mid_vagina	Intertype	#4df3ce	#18cde4	#cccccc	61	9.0	4.0	#c6e789	#4df3ce	100.0	-1.0	-1.0	#d3dbe7	#b40426	#b40426
328	Histophilus	328	Histophilus	Chryseobacterium	2.0	6	16	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	22.0	9.0	22.0	#de614d	#3b4cc0	#3b4cc0
329	Chryseobacterium	329	Chryseobacterium	Histophilus	2.0	13	4	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	103.0	9.0	22.0	#cdd9ec	#3b4cc0	#3b4cc0
330	Holdemanella	330	Holdemanella	Adlercreutzia	2.0	29	39	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	2.0	#386df9	#1996f3	179.0	9.0	22.0	#465ecf	#3b4cc0	#3b4cc0
331	Adlercreutzia	331	Adlercreutzia	Holdemanella	2.0	6	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	90.0	9.0	22.0	#e0dbd8	#3b4cc0	#3b4cc0
332	Holdemanella	332	Holdemanella	Anaerofustis	1.0	29	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	2.0	#386df9	#1996f3	179.0	9.0	22.0	#465ecf	#3b4cc0	#3b4cc0
333	Anaerofustis	333	Anaerofustis	Holdemanella	1.0	1	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	2.0	#386df9	#1996f3	11.0	9.0	22.0	#cc403a	#3b4cc0	#3b4cc0
334	Holdemanella	334	Holdemanella	Desulfotomaculum	1.0	29	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	2.0	#386df9	#1996f3	179.0	9.0	22.0	#465ecf	#3b4cc0	#3b4cc0
335	Desulfotomaculum	335	Desulfotomaculum	Holdemanella	1.0	1	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	2.0	#386df9	#1996f3	89.0	9.0	22.0	#e1dad6	#3b4cc0	#3b4cc0
336	Holdemanella	336	Holdemanella	Desulfovibrio	1.0	29	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	2.0	#386df9	#1996f3	179.0	9.0	22.0	#465ecf	#3b4cc0	#3b4cc0
337	Desulfovibrio	337	Desulfovibrio	Holdemanella	1.0	4	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	2.0	#386df9	#1996f3	118.0	9.0	22.0	#b5cdfa	#3b4cc0	#3b4cc0
338	Holdemania	338	Holdemania	Anaerostipes	3.0	1	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
339	Anaerostipes	339	Anaerostipes	Holdemania	3.0	10	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	47.0	9.0	22.0	#f59d7e	#3b4cc0	#3b4cc0
340	Holdemania	340	Holdemania	Bilophila	3.0	1	22	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
341	Bilophila	341	Bilophila	Holdemania	3.0	10	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	73.0	9.0	22.0	#f2cab5	#3b4cc0	#3b4cc0
342	Holdemania	342	Holdemania	Blautia	7.0	1	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
343	Blautia	343	Blautia	Holdemania	7.0	19	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	164.0	9.0	22.0	#6180e9	#3b4cc0	#3b4cc0
344	Holdemania	344	Holdemania	Butyricimonas	2.0	1	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
345	Butyricimonas	345	Butyricimonas	Holdemania	2.0	11	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	75.0	9.0	22.0	#f1cdba	#3b4cc0	#3b4cc0
346	Holdemania	346	Holdemania	Collinsella	3.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
347	Collinsella	347	Collinsella	Holdemania	3.0	11	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	122.0	9.0	22.0	#aec9fc	#3b4cc0	#3b4cc0
348	Holdemania	348	Holdemania	Coprobacillus	3.0	1	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
349	Coprobacillus	349	Coprobacillus	Holdemania	3.0	10	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	26.0	9.0	22.0	#e36b54	#3b4cc0	#3b4cc0
350	Holdemania	350	Holdemania	Coprobacter	3.0	1	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
351	Coprobacter	351	Coprobacter	Holdemania	3.0	5	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	16.0	9.0	22.0	#d55042	#3b4cc0	#3b4cc0
352	Holdemania	352	Holdemania	Coprococcus	5.0	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
353	Coprococcus	353	Coprococcus	Holdemania	5.0	18	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	174.0	9.0	22.0	#4f69d9	#3b4cc0	#3b4cc0
354	Holdemania	354	Holdemania	Dielma	2.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
355	Dielma	355	Dielma	Holdemania	2.0	5	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	155.0	9.0	22.0	#7093f3	#3b4cc0	#3b4cc0
356	Holdemania	356	Holdemania	Erysipelatoclostridium	3.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
357	Erysipelatoclostridium	357	Erysipelatoclostridium	Holdemania	3.0	10	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	105.0	9.0	22.0	#cbd8ee	#3b4cc0	#3b4cc0
358	Holdemania	358	Holdemania	Eubacterium	5.0	1	2	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
359	Eubacterium	359	Eubacterium	Holdemania	5.0	41	12	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	61	0.0	1.0	#8000ff	#4e4dfc	116.0	9.0	22.0	#b9d0f9	#3b4cc0	#3b4cc0
360	Holdemania	360	Holdemania	Faecalibacterium	3.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
361	Faecalibacterium	361	Faecalibacterium	Holdemania	3.0	29	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	186.0	9.0	22.0	#3c4ec2	#3b4cc0	#3b4cc0
362	Holdemania	362	Holdemania	Flavonifractor	5.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
363	Flavonifractor	363	Flavonifractor	Holdemania	5.0	15	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	21.0	9.0	22.0	#dc5d4a	#3b4cc0	#3b4cc0
364	Holdemania	364	Holdemania	Gordonibacter	4.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	79.0	9.0	22.0	#edd1c2	#3b4cc0	#3b4cc0
365	Gordonibacter	365	Gordonibacter	Holdemania	4.0	6	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	115.0	9.0	22.0	#bad0f8	#3b4cc0	#3b4cc0
366	Hungatella	366	Hungatella	Adlercreutzia	2.0	41	39	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	162.0	9.0	22.0	#6384eb	#3b4cc0	#3b4cc0
367	Adlercreutzia	367	Adlercreutzia	Hungatella	2.0	6	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	90.0	9.0	22.0	#e0dbd8	#3b4cc0	#3b4cc0
368	Hungatella	368	Hungatella	Anaerofustis	1.0	41	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	162.0	9.0	22.0	#6384eb	#3b4cc0	#3b4cc0
369	Anaerofustis	369	Anaerofustis	Hungatella	1.0	1	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	2.0	#386df9	#1996f3	11.0	9.0	22.0	#cc403a	#3b4cc0	#3b4cc0
370	Hungatella	370	Hungatella	Desulfotomaculum	1.0	41	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	162.0	9.0	22.0	#6384eb	#3b4cc0	#3b4cc0
371	Desulfotomaculum	371	Desulfotomaculum	Hungatella	1.0	1	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	2.0	#386df9	#1996f3	89.0	9.0	22.0	#e1dad6	#3b4cc0	#3b4cc0
372	Hungatella	372	Hungatella	Desulfovibrio	1.0	41	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	162.0	9.0	22.0	#6384eb	#3b4cc0	#3b4cc0
373	Desulfovibrio	373	Desulfovibrio	Hungatella	1.0	4	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	2.0	#386df9	#1996f3	118.0	9.0	22.0	#b5cdfa	#3b4cc0	#3b4cc0
374	Hungatella	374	Hungatella	Eubacterium	2.0	41	2	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	61	2.0	1.0	#386df9	#4e4dfc	162.0	9.0	22.0	#6384eb	#3b4cc0	#3b4cc0
375	Eubacterium	375	Eubacterium	Hungatella	2.0	41	15	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	61	0.0	1.0	#8000ff	#4e4dfc	116.0	9.0	22.0	#b9d0f9	#3b4cc0	#3b4cc0
376	Hungatella	376	Hungatella	Gordonibacter	4.0	41	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	162.0	9.0	22.0	#6384eb	#3b4cc0	#3b4cc0
377	Gordonibacter	377	Gordonibacter	Hungatella	4.0	6	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	115.0	9.0	22.0	#bad0f8	#3b4cc0	#3b4cc0
378	Intestinimonas	378	Intestinimonas	Dysgonomonas	2.0	1	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	98.0	9.0	22.0	#d5dbe5	#3b4cc0	#3b4cc0
379	Dysgonomonas	379	Dysgonomonas	Intestinimonas	2.0	2	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	183.0	9.0	22.0	#4055c8	#3b4cc0	#3b4cc0
380	Intestinimonas	380	Intestinimonas	Holdemanella	3.0	1	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	1.0	#386df9	#4e4dfc	98.0	9.0	22.0	#d5dbe5	#3b4cc0	#3b4cc0
381	Holdemanella	381	Holdemanella	Intestinimonas	3.0	5	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	2.0	#386df9	#1996f3	179.0	9.0	22.0	#465ecf	#3b4cc0	#3b4cc0
382	Janibacter	382	Janibacter	Afipia	1.0	3	5	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	61	1.0	5.0	#5c38fd	#7effb5	1.0	9.0	22.0	#b8122a	#3b4cc0	#3b4cc0
383	Afipia	383	Afipia	Janibacter	1.0	4	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	61	1.0	5.0	#5c38fd	#7effb5	1.0	-1.0	-1.0	#b8122a	#b40426	#b40426
384	Johnsonella	384	Johnsonella	Eikenella	4.0	4	2	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	61	2.0	7.0	#386df9	#e4cf74	130.0	9.0	22.0	#9fbfff	#3b4cc0	#3b4cc0
385	Eikenella	385	Eikenella	Johnsonella	4.0	18	15	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	61	2.0	7.0	#386df9	#e4cf74	166.0	9.0	22.0	#5d7ce6	#3b4cc0	#3b4cc0
386	Kandleria	386	Kandleria	Acholeplasma	1.0	5	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	14.0	2.0	#ff0000	#1996f3	35.0	9.0	22.0	#ec8165	#3b4cc0	#3b4cc0
387	Acholeplasma	387	Acholeplasma	Kandleria	1.0	3	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	14.0	2.0	#ff0000	#1996f3	21.0	9.0	22.0	#dc5d4a	#3b4cc0	#3b4cc0
388	Kingella	388	Kingella	Abiotrophia	4.0	12	29	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	61	7.0	0.0	#7effb5	#8000ff	171.0	9.0	22.0	#5470de	#3b4cc0	#3b4cc0
389	Abiotrophia	389	Abiotrophia	Kingella	4.0	29	30	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	61	7.0	0.0	#7effb5	#8000ff	153.0	9.0	22.0	#7597f6	#3b4cc0	#3b4cc0
390	Kingella	390	Kingella	Actinobacillus	3.0	12	23	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	61	7.0	0.0	#7effb5	#8000ff	171.0	9.0	22.0	#5470de	#3b4cc0	#3b4cc0
391	Actinobacillus	391	Actinobacillus	Kingella	3.0	10	30	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	61	13.0	0.0	#ff3b1e	#8000ff	25.0	9.0	22.0	#e26952	#3b4cc0	#3b4cc0
392	Kingella	392	Kingella	Aggregatibacter	8.0	12	4	Supragingival_plaque	Mixed	Intertype	#ff964f	#cccccc	#cccccc	61	7.0	0.0	#7effb5	#8000ff	171.0	9.0	22.0	#5470de	#3b4cc0	#3b4cc0
393	Aggregatibacter	393	Aggregatibacter	Kingella	8.0	31	30	Mixed	Supragingival_plaque	Intertype	#cccccc	#ff964f	#cccccc	61	7.0	0.0	#7effb5	#8000ff	24.0	9.0	22.0	#e0654f	#3b4cc0	#3b4cc0
394	Kingella	394	Kingella	Centipeda	6.0	12	25	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	61	7.0	0.0	#7effb5	#8000ff	171.0	9.0	22.0	#5470de	#3b4cc0	#3b4cc0
395	Centipeda	395	Centipeda	Kingella	6.0	16	30	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	61	7.0	0.0	#7effb5	#8000ff	21.0	9.0	22.0	#dc5d4a	#3b4cc0	#3b4cc0
396	Kocuria	396	Kocuria	Aureimonas	1.0	16	24	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	12.0	3.0	#ff703a	#18cde4	92.0	8.0	21.0	#dddcdc	#c73635	#485fd1
397	Aureimonas	397	Aureimonas	Kocuria	1.0	1	4	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	2.0	3.0	#386df9	#18cde4	6.0	9.0	22.0	#c32e31	#3b4cc0	#3b4cc0
398	Kocuria	398	Kocuria	Crocosphaera	1.0	16	5	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	12.0	3.0	#ff703a	#18cde4	92.0	8.0	21.0	#dddcdc	#c73635	#485fd1
